segmentNo	firstIdx	肝	心	脾	肺	腎	精	氣	神	血	痰	鬱	陰	陽	表	裏	寒	熱	虛	實	風	暑	濕	燥	火
1	0	8	51	4	8	18	40	148	60	21	1	0	22	37	1	1	12	8	17	5	11	4	3	2	17
2	8684	2	51	3	3	19	94	64	52	18	3	0	26	27	0	0	4	3	12	14	10	2	0	3	11
3	17368	4	83	3	16	35	142	275	26	13	12	7	37	48	0	0	14	23	35	11	9	4	4	3	25
4	26052	24	78	24	33	30	25	411	109	16	11	24	25	24	3	2	9	16	36	21	4	2	8	2	24
5	34736	7	164	9	3	4	11	51	84	45	53	10	18	27	1	0	12	14	26	14	23	1	2	0	27
6	43420	19	102	12	27	9	11	53	66	275	23	11	26	22	1	2	20	56	20	10	8	1	5	3	40
7	52104	9	34	5	6	10	3	63	27	269	11	6	67	41	0	1	20	33	48	16	10	2	2	4	16
8	60788	19	58	21	29	29	7	122	25	28	20	2	38	44	3	0	26	26	63	13	32	1	18	5	18
9	69472	3	58	12	15	19	10	66	17	18	127	11	37	38	15	1	35	41	36	22	39	1	10	13	29
10	78156	23	47	44	34	30	2	95	20	10	270	5	11	11	1	1	26	31	28	27	20	0	33	13	21
11	86840	120	172	121	124	67	8	127	27	25	0	0	39	15	1	2	15	48	36	31	17	0	9	7	9
12	95524	6	26	10	5	81	13	89	5	26	1	0	21	19	0	1	21	41	43	27	4	2	2	2	15
13	104208	12	61	21	5	4	0	52	12	147	13	8	12	23	1	2	18	57	32	4	11	0	15	5	18
14	112892	8	72	4	14	8	16	21	16	47	6	2	23	5	0	0	13	25	14	4	1	0	5	1	12
15	121576	4	58	5	16	23	14	102	7	46	13	5	35	20	0	2	17	60	56	13	1	2	2	3	9
16	130260	8	77	30	7	25	23	48	13	31	5	11	38	11	0	3	34	70	24	6	24	7	48	11	24
17	138944	3	57	49	3	29	3	50	26	55	6	1	16	9	0	6	38	41	48	9	29	13	25	5	10
18	147628	3	30	27	8	7	1	97	15	64	1	2	15	11	4	15	22	66	54	24	31	5	5	38	9
19	156312	15	20	4	1	8	8	38	36	31	32	6	22	21	0	2	12	30	40	10	91	4	14	6	17
20	164996	12	10	10	8	17	4	70	16	31	31	9	27	69	4	2	60	52	27	7	138	0	13	5	17
21	173680	88	44	17	16	40	32	31	24	66	2	0	18	28	1	4	12	33	36	13	83	2	2	1	29
22	182364	57	20	12	9	16	5	20	10	25	1	1	10	17	3	2	6	87	26	12	113	0	1	0	14
23	191048	47	28	2	3	15	19	49	26	39	0	14	22	19	5	4	7	49	24	12	56	0	2	1	21
24	199732	21	17	0	13	52	9	74	20	22	16	7	20	27	0	0	12	43	44	2	65	0	6	0	36
25	208416	14	45	31	41	8	1	45	15	40	4	7	12	7	2	4	20	91	21	9	39	0	3	6	29
26	217100	3	10	4	3	21	1	32	14	24	11	2	12	24	1	0	25	74	15	4	60	1	7	0	24
27	225784	4	5	1	2	8	0	42	21	23	27	7	16	16	1	3	21	27	5	10	49	0	3	2	17
28	234468	4	208	22	15	16	4	83	26	22	34	15	22	27	0	0	60	49	15	16	30	1	17	1	9
29	243152	10	110	13	1	5	1	53	17	43	20	12	25	18	0	2	32	57	15	49	1	1	10	5	9
30	251836	2	38	15	1	55	7	92	20	44	33	7	22	7	0	0	61	43	43	12	19	1	29	2	12
31	260520	27	22	1	13	17	2	69	14	34	16	9	25	21	2	3	33	38	26	23	50	1	12	3	30
32	269204	19	18	14	8	7	6	99	9	60	2	1	59	45	2	5	26	43	43	16	46	1	7	2	16
33	277888	12	22	18	8	21	6	126	5	18	22	7	31	50	2	3	58	87	28	20	53	1	51	2	13
34	286572	8	32	6	15	17	9	103	14	53	4	0	30	31	0	2	8	39	16	8	34	0	25	9	27
35	295256	28	48	2	3	62	6	107	18	24	8	7	101	15	2	5	54	28	19	12	19	1	34	3	16
36	303940	15	49	10	4	17	4	52	21	73	1	5	107	18	1	2	19	45	10	13	52	0	30	7	13
37	312624	1	24	3	7	5	8	65	12	37	0	3	30	25	1	3	16	30	24	17	26	1	7	9	33
38	321308	8	20	6	9	7	9	220	13	17	0	4	162	142	1	2	52	38	1	5	33	17	15	12	71
39	329992	40	46	35	33	42	21	175	26	47	6	1	91	85	4	2	108	106	74	39	30	10	25	5	15
40	338676	21	23	17	14	28	3	154	4	34	5	9	54	73	12	9	92	96	41	33	11	1	20	10	53
41	347360	3	15	2	3	2	3	67	15	32	41	16	27	29	17	11	48	69	31	17	90	4	18	9	20
42	356044	6	26	8	8	14	10	80	27	31	49	1	8	19	7	2	12	13	32	11	229	2	8	3	18
43	364728	4	12	11	6	6	1	108	17	40	48	6	16	16	4	4	38	40	26	6	303	0	37	3	2
