segmentNo	firstIdx	肝	心	脾	肺	腎	精	氣	神	血	痰	鬱	陰	陽	表	裏	寒	熱	虛	實	風	暑	濕	燥	火
1	0	3	17	12	9	5	3	104	16	26	15	5	32	34	2	1	15	18	7	4	17	5	8	5	17
2	6961	7	14	6	1	3	15	34	11	18	4	1	16	22	1	0	28	14	10	2	19	1	4	2	16
3	13922	6	16	12	4	6	15	32	11	24	0	3	12	25	0	2	15	17	4	7	18	4	1	3	10
4	20883	4	20	0	1	1	22	31	16	6	5	1	29	32	4	3	10	5	7	4	2	1	0	0	14
5	27844	2	32	4	3	18	29	130	29	19	4	2	59	62	0	0	18	14	23	6	11	9	9	9	56
6	34805	13	17	11	14	15	1	239	7	3	0	0	95	90	0	0	39	15	3	6	22	9	20	21	76
7	41766	2	35	8	4	3	3	61	6	32	7	0	34	25	0	3	66	64	13	2	34	0	5	1	1
8	48727	1	37	0	3	1	7	32	12	24	4	1	46	32	0	3	63	80	14	4	52	0	3	2	3
9	55688	26	65	27	28	32	9	104	18	37	3	0	66	60	3	8	26	42	14	11	32	2	6	2	6
10	62649	71	114	63	31	23	9	105	15	50	8	4	23	31	0	6	17	54	44	9	41	0	8	5	18
11	69610	7	53	10	70	80	33	97	7	43	4	2	44	53	3	7	17	31	35	13	18	2	7	7	30
12	76571	16	32	17	15	23	15	108	4	80	18	6	31	30	28	31	48	77	74	30	25	4	15	5	28
13	83532	24	53	26	20	21	22	149	6	79	30	14	38	50	3	6	74	92	102	50	44	5	14	5	28
14	90493	24	48	22	20	31	7	97	12	14	2	1	122	96	5	7	24	18	34	26	16	9	6	6	23
15	97454	21	33	17	15	14	11	83	8	46	30	8	75	79	10	10	52	57	98	45	51	8	25	12	41
16	104415	22	35	22	24	23	3	48	6	39	3	0	87	91	5	10	18	21	19	24	7	1	2	0	4
17	111376	48	52	45	39	39	0	37	14	35	1	0	100	101	0	0	10	7	13	9	16	0	1	0	18
18	118337	6	23	11	9	8	5	128	12	25	10	2	60	65	0	0	17	28	31	16	47	2	5	1	11
19	125298	5	32	5	16	7	13	46	22	33	12	2	19	17	3	4	18	36	14	7	39	2	12	4	31
20	132259	4	39	5	9	12	14	63	5	73	8	0	33	17	0	3	22	35	8	4	45	0	12	8	29
